Deputy_ID,Deputy_Name,Constituency,Parliamentary_Group,URL,Committee_Name,Committee_URL,Role
16,Badiu Georgel,41 / VRANCEA,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=16,"Comisia juridică, de disciplină şi imunităţi",http://www.cdep.ro/pls/parlam/structura2015.co?idc=11&cam=2&leg=2024&idl=1,
16,Badiu Georgel,41 / VRANCEA,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=16,"Comisia pentru apărare, ordine publică şi siguranţă naţională",http://www.cdep.ro/pls/parlam/structura2015.co?idc=12&cam=2&leg=2024&idl=1,
17,Balan Ioan,35 / SUCEAVA,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=17,Comisia pentru politică externă,http://www.cdep.ro/pls/parlam/structura2015.co?idc=13&cam=2&leg=2024&idl=1,
17,Balan Ioan,35 / SUCEAVA,PNL,https://cdep.ro/pls/parlam/structura2015.mp?idm=17,"Comisia pentru cercetarea abuzurilor, corupţiei şi pentru petiţii",http://www.cdep.ro/pls/parlam/structura2015.co?idc=14&cam=2&leg=2024&idl=1,Secretar
18,Bara Nicolae-Adrian,1 / ALBA,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=18,Comisia pentru sănătate şi familie,http://www.cdep.ro/pls/parlam/structura2015.co?idc=8&cam=2&leg=2024&idl=1,
18,Bara Nicolae-Adrian,1 / ALBA,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=18,Comisia pentru învăţământ,http://www.cdep.ro/pls/parlam/structura2015.co?idc=9&cam=2&leg=2024&idl=1,
19,Barbu Florin-Ionuț,30 / OLT,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=19,"Comisia pentru agricultură, silvicultură, industrie alimentară şi servicii specifice",http://www.cdep.ro/pls/parlam/structura2015.co?idc=4&cam=2&leg=2024&idl=1,
20,Barstan Tiberiu-Claudiu,22 / HUNEDOARA,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=20,Comisia pentru industrii şi servicii,http://www.cdep.ro/pls/parlam/structura2015.co?idc=3&cam=2&leg=2024&idl=1,Secretar
21,Baș Ana-Marcela,37 / TIMIȘ,SOS RO,https://cdep.ro/pls/parlam/structura2015.mp?idm=21,"Comisia pentru drepturile omului, culte şi problemele minorităţilor naţionale",http://www.cdep.ro/pls/parlam/structura2015.co?idc=5&cam=2&leg=2024&idl=1,Vicepreşedinte
21,Baș Ana-Marcela,37 / TIMIȘ,SOS RO,https://cdep.ro/pls/parlam/structura2015.mp?idm=21,"Comisia juridică, de disciplină şi imunităţi",http://www.cdep.ro/pls/parlam/structura2015.co?idc=11&cam=2&leg=2024&idl=1,
22,Bãișanu Ștefan-Alexandru,35 / SUCEAVA,SOS RO,https://cdep.ro/pls/parlam/structura2015.mp?idm=22,"Comisia pentru cultură, arte, mijloace de informare în masă",http://www.cdep.ro/pls/parlam/structura2015.co?idc=10&cam=2&leg=2024&idl=1,
22,Bãișanu Ștefan-Alexandru,35 / SUCEAVA,SOS RO,https://cdep.ro/pls/parlam/structura2015.mp?idm=22,Comisia pentru transporturi şi infrastructură,http://www.cdep.ro/pls/parlam/structura2015.co?idc=34&cam=2&leg=2024&idl=1,
23,Becali George,42 / BUCUREȘTI,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=23,"Comisia juridică, de disciplină şi imunităţi",http://www.cdep.ro/pls/parlam/structura2015.co?idc=11&cam=2&leg=2024&idl=1,
23,Becali George,42 / BUCUREȘTI,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=23,"Comisia pentru cercetarea abuzurilor, corupţiei şi pentru petiţii",http://www.cdep.ro/pls/parlam/structura2015.co?idc=14&cam=2&leg=2024&idl=1,
23,Becali George,42 / BUCUREȘTI,AUR,https://cdep.ro/pls/parlam/structura2015.mp?idm=23,Comisia pentru constituționalitate,http://www.cdep.ro/pls/parlam/structura2015.co?idc=71&cam=2&leg=2024&idl=1,
24,Bejinariu Eugen,35 / SUCEAVA,PSD,https://cdep.ro/pls/parlam/structura2015.mp?idm=24,"Comisia pentru drepturile omului, culte şi problemele minorităţilor naţionale",http://www.cdep.ro/pls/parlam/structura2015.co?idc=5&cam=2&leg=2024&idl=1,
25,Bende Sándor,21 / HARGHITA,UDMR,https://cdep.ro/pls/parlam/structura2015.mp?idm=25,Comisia pentru industrii şi servicii,http://www.cdep.ro/pls/parlam/structura2015.co?idc=3&cam=2&leg=2024&idl=1,Preşedinte
26,Berescu Monica-Elena,24 / IAȘI,USR,https://cdep.ro/pls/parlam/structura2015.mp?idm=26,Comisia pentru muncă şi protecţie socială,http://www.cdep.ro/pls/parlam/structura2015.co?idc=7&cam=2&leg=2024&idl=1,
